seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31204,2024,4154,CJ McCollum,NA,PG,32,11,NBA,NOP,41,1315,18,0.598,0.542,0.163,2,12.9,7.5,21.3,1.7,2.3,9.2,23.5,2.2,1.6,3.8,0.14,3.1,0.3,3.4,1.8
31205,2024,4912,Cade Cunningham,NA,PG,22,3,NBA,DET,44,1496,15.4,0.539,0.277,0.242,1.3,12.4,6.7,34.6,1.3,0.9,14.9,29.6,0.1,0.6,0.6,0.02,0.6,-1.9,-1.3,0.3
31206,2024,5034,Caleb Houstan,NA,SF,21,2,NBA,ORL,40,596,8.2,0.58,0.929,0.143,4.2,8.1,6.1,5.4,0.8,0.2,7.9,12.9,0.5,0.5,1,0.081,-1.4,-0.9,-2.3,-0.1
31207,2024,4696,Caleb Martin,NA,SF,28,5,NBA,MIA,38,1009,11.3,0.541,0.368,0.181,5.2,14.1,9.6,11.8,1.4,1.1,10.9,17.3,0.3,1.2,1.5,0.07,-2.2,0,-2.1,0
31208,2024,4697,Cam Reddish,NA,SF,24,5,NBA,LAL,35,815,8.4,0.519,0.463,0.224,2.7,8.5,5.7,7.3,2.5,1.2,11.8,13.5,-0.3,0.9,0.6,0.035,-4,1.1,-2.8,-0.2
31209,2024,4913,Cam Thomas,NA,SG,22,3,NBA,BRK,45,1336,15.2,0.546,0.321,0.271,1.3,9.3,5.1,14.4,1.2,0.8,8.5,30.6,0.3,0.7,1,0.034,-0.4,-2.1,-2.4,-0.1
31210,2024,5121,Cam Whitmore,NA,SF,19,1,NBA,HOU,28,476,18.4,0.592,0.467,0.243,4.3,18.8,11.5,4.5,1.8,1.2,6.9,27.2,0.4,0.7,1.1,0.113,1.9,-0.4,1.4,0.4
31211,2024,4698,Cameron Johnson,NA,PF,27,5,NBA,BRK,41,1156,14.5,0.581,0.549,0.141,4,14.3,9,13.5,1.4,0.9,7.6,19.4,1.4,0.8,2.2,0.093,1.1,-0.7,0.4,0.7
31212,2024,4311,Cameron Payne,NA,PG,29,9,NBA,TOT,51,805,12.4,0.583,0.574,0.202,1.2,8.2,4.8,20.8,1.4,0.4,10.6,16.9,1.1,0.5,1.7,0.099,-1,-0.6,-1.6,0.1
31213,2024,4311,Cameron Payne,NA,PG,29,9,NBA,MIL,47,702,12.4,0.603,0.59,0.198,0.8,8.6,4.8,20.2,1.5,0.4,11.4,16.5,1,0.5,1.5,0.103,-1,-0.5,-1.5,0.1
31214,2024,4311,Cameron Payne,NA,PG,29,9,NBA,PHI,4,103,12.6,0.478,0.488,0.22,4.3,5.4,4.8,25,0.9,0.9,6.3,19.8,0.1,0.1,0.2,0.072,-0.4,-1.7,-2.1,0
31215,2024,4383,Caris LeVert,NA,SG,29,8,NBA,CLE,43,1180,14.7,0.526,0.411,0.23,2.2,12,7.2,23.2,1.7,1.3,9.8,24,0.7,1.7,2.4,0.1,-0.4,0.6,0.2,0.6
31216,2024,5122,Cason Wallace,NA,SG,20,1,NBA,OKC,54,1120,11.3,0.63,0.546,0.093,3.2,8.3,5.9,8.1,1.6,1.9,7.9,12.3,1.4,1.2,2.6,0.11,-1,0.4,-0.7,0.4
31217,2024,4479,Cedi Osman,NA,SF,28,7,NBA,SAS,55,989,11.4,0.595,0.572,0.163,2.1,13.3,7.6,13.2,1.4,0.8,9.9,15.4,0.7,0.6,1.3,0.063,-1.7,-0.6,-2.3,-0.1
31218,2024,4917,Charles Bassey,NA,C,23,3,NBA,SAS,19,205,17.6,0.739,0.025,0.15,11.9,28.4,20,14.1,1.8,7.1,26,11.8,0.3,0.3,0.6,0.148,-2,3,1,0.2
31219,2024,4700,Charlie Brown Jr.,NA,SG,26,4,NBA,NYK,6,33,-2.4,0.333,0.667,0,3.4,3.4,3.4,0,0,5.6,18.2,14.2,-0.1,0,-0.1,-0.108,-10,-3,-13,-0.1
